"ID","calle_colonia","delegacion","cp","tipo","precio","moneda","lat","lon","AREA_CONSTRUIDA","RECAMARAS","BANOS","No_de_pisos","Edad_inmueble","Jardin","Cisterna","Seguridad privada","Zona privada","Alberca","Lavandería","Terraza","Gimnasio","Cuarto de servicio","Chimenea","Sótano","Aire acondicionado","Elevador","Urbanizado"
28062807,"Sierra Ventana","Miguel Hidalgo",11000,"Casa","60,000,000 ","MXN",19.4259355,-99.2211701,1052,3,3,1,35,"1","0","1","0","0","0","0","0","1","0","0","0","0","0"
28662422,"Tlapacoya 200 ","Álvaro Obregón",1760,"Casa","21,500,000 ","MXN",19.3481367,-99.2030585,460,3,3,1,42,"0","0","0","0","0","1","1","0","0","1","0","0","0","0"
28232776,"TOWN HOUSE CON ROOF PRIVADO EN CONDOMINIO DE 4 VECINOS","Cuauhtémoc",6760,"Casa","11,305,350 ","MXN",19.405299,-99.1649891,143,3,2,3,1,"0","1","0","1","0","0","1","0","0","0","0","0","0","0"
27753724,"Villa Atuel","Iztapalapa",9700,"Casa","2,950,000 ","MXN",19.3348266,-99.0392429,219,3,2,2,30,"0","1","0","0","0","0","0","0","0","0","0","0","0","0"
28610396,"Xotepingo","Coyoacán",4610,"Casa","9,400,000 ","MXN",19.3263486,-99.1437323,355,5,3,1,1,"1","0","1","0","0","0","0","0","1","0","0","0","0","0"
28644093,"Arquimedes #217","Miguel Hidalgo",11560,"Departamento","15,980,000 ","MXN",19.4365872622895,-99.1906126205155,171,2,2,9,17,"0","0","1","1","0","0","1","1","0","0","0","0","1","0"
28610397," _ ","Benito Juárez",3104,"Departamento","7,000,000 ","MXN",19.3679403,-99.169486,103,2,2,1,1,"0","0","1","0","0","0","0","0","0","0","0","0","1","0"
28681659,"14","Miguel Hidalgo",11510,"Departamento","6,903,700 ","MXN",19.4376344,-99.2099821,87,2,2,1,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0"
28684820,"Adolfo López Mateos #1753","Álvaro Obregón",1600,"Departamento","4,750,000 ","MXN",19.3661498732969,-99.1915854132141,71,2,2,1,1,"0","0","0","1","1","0","0","1","0","0","0","0","1","0"
16052498,"Amores","Benito Juárez",3103,"Departamento","4,950,000 ","MXN",19.396264,-99.1636594,97,2,2,1,5,"0","0","1","0","0","0","0","0","0","0","0","0","0","0"
27923503,"Anaxagoras","Benito Juárez",3020,"Departamento","6,725,000 ","MXN",19.38822,-99.157526,109,2,2,1,1,"0","0","1","0","0","0","1","0","0","0","0","0","1","0"
28830906,"Anillo Periférico 4091 #4091","Tlalpan",14140,"Departamento","3,600,000 ","MXN",19.3083681,-99.218957,108,3,2,4,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28662894,"Arenal 600","Tlalpan",14610,"Departamento","2,800,000 ","MXN",19.2956691,-99.1571682,56,2,2,1,9,"0","0","0","0","0","1","0","0","0","0","0","0","0","0"
28720572,"Av. Acueducto #757","Gustavo A. Madero",7369,"Departamento","4,664,847 ","MXN",19.50162,-99.12123,96,3,2,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28667132,"Av. Acueducto de Guadalupe 600","Gustavo A. Madero",7010,"Departamento","2,240,000 ","MXN",19.4977577,-99.113797,74,2,1,1,1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0"
28662125,"Av. Amsterdam 200","Cuauhtémoc",6100,"Departamento","9,300,000 ","MXN",19.4093682,-99.1719095,140,2,2,1,44,"0","0","0","0","0","0","0","0","0","0","0","0","1","0"
28661721,"Av. Carlos Fernández Graef 300","Cuajimalpa de Morelos",5348,"Departamento","8,000,000 ","MXN",19.3622412,-99.2661066,134,2,2,1,1,"0","0","0","0","1","0","0","1","0","0","0","0","1","0"
28723693,"AV. CHAPULTEPEC #139","Cuauhtémoc",6040,"Departamento","2,325,300 ","MXN",19.42707,-99.15154,31,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28661744,"Av. Cuauhtémoc","Cuauhtémoc",6720,"Departamento","3,179,410 ","MXN",19.4179232,-99.1483827,44,1,1,1,1,"0","0","1","0","0","0","0","0","0","0","0","0","1","0"
28661763,"Av. Cuauhtémoc","Cuauhtémoc",6720,"Departamento","4,340,000 ","MXN",19.4179232,-99.1483827,46,1,1,1,1,"0","0","1","0","0","0","1","0","0","0","0","0","1","0"
