"ID","precio","tipo","AREA_CONST","RECAMARAS","BANOS","No_de_piso","Edad_inmue","Jardin","Cisterna","Seguridad","Zona.priva","Alberca","Lavanderí","Terraza","Gimnasio","Cuarto.de","Chimenea","Sótano","Aire.acond","Elevador","Urbanizado","CPV_Prop_e","CPV_Prop_a","CPV_Prop_d","CPV_Prop_s","Distance","I_A","tipo_vivienda"
25811264,4605553,"Departamento",33,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1418.325259,1,1
28839172,4000000,"Departamento",66,1,2,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9183673469,0.9047619048,0.9183673469,0.9183673469,2585.755273,0.6,1
28661993,4950000,"Departamento",114,3,2,1,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.850678733,0.850678733,0.850678733,0.850678733,4515.846192,1,1
28794375,3300000,"Departamento",120,2,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8703703704,0.8518518519,0.8703703704,0.8703703704,5150.08006,1,1
28769251,1795000,"Departamento",75,3,1,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.95,0.95,0.95,15619.17099,0.9,1
28769251,1795000,"Departamento",75,3,1,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9183673469,0.8979591837,0.8979591837,0.8979591837,15619.17099,0.9,1
28725226,3256000,"Departamento",67,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,5410.968524,1,1
28720529,16500000,"Departamento",215,3,2,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8448275862,0.8275862069,0.8448275862,0.8448275862,2502.959855,1,1
25285547,4389000,"Departamento",90,2,2,5,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0.9680933852,0.9548638132,0.9618677043,0.9595330739,16284.16139,0.5,1
28289381,1472310,"Departamento",55,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0.7,6350.487721,0.9,1
26608630,1690000,"Departamento",65,2,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.8431372549,0.8431372549,0.8431372549,0.8431372549,7650.849947,1,1
28797116,7500000,"Departamento",106,2,2,1,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,5862.776236,1,1
28567859,65000000,"Departamento",600,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9661016949,0.9661016949,0.9661016949,0.9661016949,4337.526647,0.6,1
28263787,3990000,"Departamento",80,2,2,1,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.3181818182,0.3131313131,0.3181818182,0.3181818182,9387.566885,0.9,1
28659890,6480000,"Departamento",90,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7345132743,0.7345132743,0.7345132743,0.7345132743,2072.84549,1,1
28759411,7095000,"Departamento",160,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7731092437,0.7731092437,0.7731092437,0.7731092437,5281.160329,0.3,1
28340757,8000000,"Departamento",104,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,11990.76333,0.6,1
28067053,6399999,"Departamento",85,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7731092437,0.7731092437,0.7731092437,0.7731092437,5281.160329,0.3,1
28607123,5250000,"Departamento",165,2,2,1,30,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.671875,0.671875,0.671875,0.671875,5123.576071,0.7,1
28762826,6410000,"Departamento",86,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848,0.848,0.848,0.848,6035.725162,1,1
28649505,3300000,"Departamento",45,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0.9473684211,0.9473684211,0.9473684211,0.9473684211,1269.456819,0.6,1
28725763,5950000,"Departamento",217,3,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7213930348,0.7213930348,0.7213930348,0.7213930348,15067.1106,0.5,1
28664272,13859060,"Departamento",105,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6911764706,0.6911764706,0.6911764706,0.6911764706,3597.749677,1,1
28785559,31894000,"Departamento",248,3,4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.6911764706,0.6911764706,0.6911764706,0.6911764706,3597.749677,1,1
28833526,16600000,"Departamento",150,2,2,1,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.6279069767,0.6279069767,0.6279069767,0.6279069767,3516.905428,1,1
28762834,5500000,"Departamento",149,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6436363636,0.6436363636,0.6436363636,0.6436363636,15429.38984,0.5,1
28087157,13800000,"Departamento",287,3,2,1,50,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.6952054795,0.6952054795,0.6952054795,0.6952054795,2573.359741,1,1
28425344,5533157,"Departamento",84,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.86,0.855,0.86,0.8575,1100.0592,1,1
28688798,3300000,"Departamento",82,2,1,1,64,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.9107142857,0.9107142857,0.9107142857,0.9107142857,3757.546212,0.7,1
28722578,1700000,"Departamento",60,2,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9652173913,0.9652173913,0.9652173913,0.9652173913,1779.750671,1,1
28690951,8500000,"Departamento",125,2,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.9166666667,0.9166666667,0.9166666667,0.9166666667,3150.555285,1,1
28774805,6900000,"Departamento",140,2,2,1,10,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.5411764706,0.5411764706,0.5411764706,0.5411764706,978.9657217,1,1
28641555,2025000,"Departamento",51,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.4246575342,0.4246575342,0.4246575342,0.4246575342,5344.466296,1,1
28517312,8500000,"Departamento",145,2,3,1,23,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.875,0.875,0.875,0.875,1187.924576,0.6,1
28721560,4696380,"Departamento",116,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9565217391,0.9565217391,0.9565217391,0.9565217391,4618.782831,1,1
27434451,5800000,"Departamento",127,3,2,1,15,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.942455243,0.942455243,0.942455243,0.942455243,4069.992939,0.3,1
28543680,2350000,"Departamento",57,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8971962617,0.8971962617,0.8971962617,0.8971962617,2446.063065,1,1
28823831,7900000,"Departamento",111,2,2,1,30,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0.6952054795,0.6952054795,0.6952054795,0.6952054795,2584.971841,1,1
28531160,3345000,"Departamento",114,2,2,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6845794393,0.6822429907,0.6822429907,0.6822429907,3617.614464,1,1
28332207,13980000,"Departamento",226,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,6010.887092,0.5,1
28781854,6900000,"Departamento",195,3,2,1,49,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.6528301887,0.6528301887,0.6528301887,0.6528301887,7328.970374,1,1
28772234,6900000,"Departamento",195,3,2,1,41,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.8270676692,0.8270676692,0.8270676692,0.8270676692,5824.275487,1,1
27398915,6975150,"Departamento",73,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.8095238095,0.8095238095,0.8095238095,0.8095238095,4971.273929,1,1
