ID,calle_colo,delegacion,cp,tipo,precio,lat,lon,AREA_CONST,RECAMARAS,BANOS,No_de_piso,Edad_inmue,Jardin,Cisterna,Seguridad,Zona priva,Alberca,Lavanderí,Terraza,Gimnasio,Cuarto de,Chimenea,Sótano,Aire acond,Elevador,Urbanizado,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,TIPOMZA,CVE_MZA1,CPV_VIVTOT,CPV_VPH_C_,CPV_VPH_AE,CPV_VPH_DR,CPV_VPH__1,CPV_Prop_e,CPV_Prop_a,CPV_Prop_d,CPV_Prop_s,InputID,Distance,CVEGEO,CVE_ENT_2,CVE_MUN_2,CVE_LOC_2,CVE_AGEB_2,PESO_A,PESO_B,PESO_C,PESO_D,I_A
28762827,,Álvaro Obregón,1780,Casa,6600000,19.3409349,-99.205763,203,3,2,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,10,verdadero,"1222",16,Típica,"01000011222016",58,56,56,56,56,96.55172414,96.55172414,96.55172414,96.55172414,99999999,10417.92031,"0901000011222","09","010","0001","1222",0.200,0.300,0.000,0.100,0.600
27586526,Paseo del Rocio Lomas de Vista Hermosa,Cuajimalpa de Morelos,5100,Casa,10500000,19.3763601,-99.2684457,319,4,4,3,50,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,4,verdadero,"0049",1,Típica,"00400010049001",332,310,309,310,310,93.37349398,93.07228916,93.37349398,93.37349398,99999999,12095.32881,"0900400010049","09","004","0001","0049",0.200,0.300,0.000,0.000,0.500
23701112,PEDREGAL DE SAN FRANCISCO,Coyoacán,4320,Casa,12850000,19.3388046,-99.1691413,306,1,3,1,33,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,3,verdadero,"0431",16,Típica,"00300010431016",17,15,15,15,15,88.23529412,88.23529412,88.23529412,88.23529412,99999999,9812.124085,"0900300010431","09","003","0001","0431",0.200,0.300,0.400,0.000,0.900
23965760,PEDREGAL DE SAN FRANCISCO,Coyoacán,4320,Casa,29900000,19.3388046,-99.1691413,564,4,3,2,40,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,9,3,verdadero,"0431",16,Típica,"00300010431016",17,15,15,15,15,88.23529412,88.23529412,88.23529412,88.23529412,99999999,9812.124085,"0900300010431","09","003","0001","0431",0.200,0.300,0.400,0.000,0.900
27926439,Pino,Álvaro Obregón,1030,Casa,24900000,19.36299056,-99.17650252,326,3,3,2,13,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,9,10,verdadero,"1006",18,Típica,"01000011006018",22,19,19,19,19,86.36363636,86.36363636,86.36363636,86.36363636,99999999,7206.230795,"0901000011006","09","010","0001","1006",0.200,0.300,0.400,0.100,1.000
28567032,Plaza rio san carlos,Iztapalapa,9030,Casa,11000000,19.3872562,-99.0889919,300,6,4,1,1,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,9,7,verdadero,"0093",11,Típica,"00700010093011",116,107,107,107,107,92.24137931,92.24137931,92.24137931,92.24137931,99999999,9287.868495,"0900700010093","09","007","0001","0093",0.200,0.300,0.400,0.100,1.000
28651106,Primer Retorno de Sierra Itambe,Miguel Hidalgo,11700,Casa,52000000,19.3914119,-99.265523,1200,3,4,1,20,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,9,4,verdadero,"0176",16,Contenedora,"00400010176016",487,473,464,467,466,97.12525667,95.27720739,95.89322382,95.68788501,99999999,11124.71562,"0900400010176","09","004","0001","0176",0.200,0.300,0.000,0.000,0.500
28651107,Primer Retorno de Sierra Itambe,Miguel Hidalgo,11920,Casa,52000000,19.3963452,-99.2397156,1200,3,4,1,20,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,9,16,verdadero,"1300",14,Típica,"01600011300014",90,68,68,68,68,75.55555556,75.55555556,75.55555556,75.55555556,99999999,8410.923839,"0901600011300","09","016","0001","1300",0.200,0.300,0.000,0.000,0.500
21872833,Renovación,Iztapalapa,9209,Casa,2100000,19.37135692,-99.04867887,250,6,3,1,31,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,7,verdadero,465A,13,Típica,0070001465A013,36,36,36,36,36,100,100,100,100,99999999,13856.869,090070001465A,"09","007","0001",465A,0.200,0.300,0.000,0.100,0.600
28545932,Residencial Emperadores,Benito Juárez,3320,Casa,18000000,19.3703949,-99.1546152,530,10,6,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,14,verdadero,"0774",25,Típica,"01400010774025",99,84,84,84,84,84.84848485,84.84848485,84.84848485,84.84848485,99999999,6436.687947,"0901400010774","09","014","0001","0774",0.200,0.300,0.400,0.100,1.000
